t_	V_m_	I_Stim_	d_dVdt_	I_Na_	I_CaL_	I_Ca_junc_	I_Ca_sl_	I_Kur_	I_to_	I_Kr_	I_Kss_	I_K1_	I_NCX_	I_Cap_	I_Nak_	I_Nab_	I_Cab_	I_Cl_	J_SERCA_	J_SRCarel_	J_SRleak_	RyR_O_	RyR_R_	RyR_I_	RyR_RI_	Ca_junc_	Ca_sl_	Ca_i_	Ca_sr_	Na_junc_	Na_sl_	Na_myo_	K_i_	CaMKII_junc_	Phos_LCC_CK_	Phos_RyR_CK_	Phos_PLB_CK_
44.000000	-76.652309	0.000000	-0.197723	-0.000062	-0.001209	-0.001146	-0.000063	0.036083	0.001252	0.027814	0.198265	0.591011	-0.442631	0.046756	0.215456	-0.170064	-0.120113	-0.184831	0.153390	7.159552	3.419013	0.000991	0.058783	0.015595	0.924630	10.533203	1.410805	0.152536	300.082179	11.620736	11.620506	11.620490	135.000000	116.981555	79.110737	24.156798	1.579696
45.000000	-76.839678	0.000000	-0.174428	-0.000061	-0.001103	-0.001042	-0.000061	0.035023	0.001193	0.026439	0.191908	0.573092	-0.436923	0.046550	0.214927	-0.170278	-0.120478	-0.185861	0.152325	6.951522	3.421640	0.000961	0.060053	0.014791	0.924194	10.224371	1.380186	0.151784	299.961057	11.620779	11.620551	11.620535	135.000000	116.838869	79.137801	24.162531	1.580295
46.000000	-77.004584	0.000000	-0.145445	-0.000060	-0.000985	-0.000927	-0.000059	0.033717	0.001123	0.024631	0.183681	0.549802	-0.428513	0.046242	0.214263	-0.170547	-0.120981	-0.186927	0.150750	6.659068	3.426361	0.000932	0.061347	0.014028	0.923693	9.925783	1.350353	0.151030	299.894698	11.620821	11.620595	11.620580	135.000000	116.621935	79.177162	24.170880	1.581166
47.000000	-77.149944	0.000000	-0.132605	-0.000060	-0.000939	-0.000882	-0.000057	0.033138	0.001093	0.023773	0.179844	0.539019	-0.424106	0.046077	0.213963	-0.170668	-0.121230	-0.187298	0.149920	6.511797	3.429228	0.000903	0.062665	0.013302	0.923130	9.636929	1.321295	0.150274	299.880598	11.620862	11.620638	11.620623	135.000000	116.504767	79.197599	24.175222	1.581619
48.000000	-77.278106	0.000000	-0.110471	-0.000060	-0.000865	-0.000810	-0.000056	0.032134	0.001042	0.022195	0.172888	0.519603	-0.415285	0.045742	0.213435	-0.170881	-0.121709	-0.187766	0.148252	6.227240	3.435722	0.000875	0.064006	0.012614	0.922505	9.357375	1.292995	0.149516	299.916646	11.620901	11.620681	11.620666	135.000000	116.261834	79.238266	24.183872	1.582523
49.000000	-77.391478	0.000000	-0.095574	-0.000060	-0.000820	-0.000766	-0.000054	0.031444	0.001009	0.021031	0.167842	0.505742	-0.408111	0.045462	0.213066	-0.171030	-0.122082	-0.187918	0.146885	6.004844	3.441731	0.000848	0.065370	0.011959	0.921822	9.086684	1.265439	0.148759	300.000552	11.620940	11.620723	11.620708	135.000000	116.055294	79.271186	24.190887	1.583255
50.000000	-77.491934	0.000000	-0.083493	-0.000060	-0.000787	-0.000734	-0.000053	0.030866	0.000981	0.019966	0.163319	0.493715	-0.400964	0.045177	0.212753	-0.171156	-0.122439	-0.187877	0.145512	5.790743	3.448378	0.000822	0.066757	0.011338	0.921083	8.824508	1.238610	0.148003	300.130411	11.620978	11.620763	11.620749	135.000000	115.840952	79.303919	24.197871	1.583985
51.000000	-77.581245	0.000000	-0.083493	-0.000060	-0.000787	-0.000734	-0.000053	0.030866	0.000981	0.019966	0.163319	0.493715	-0.400964	0.045177	0.212753	-0.171156	-0.122439	-0.187877	0.145512	5.790743	3.448378	0.000796	0.068167	0.010749	0.920287	8.570474	1.212491	0.147247	300.304308	11.621015	11.620803	11.620789	135.000000	115.840952	79.303919	24.197871	1.583985
52.000000	-77.660983	0.000000	-0.073175	-0.000059	-0.000760	-0.000708	-0.000052	0.030354	0.000957	0.018977	0.159160	0.482823	-0.393856	0.044887	0.212473	-0.171269	-0.122786	-0.187724	0.144137	5.584158	3.455592	0.000771	0.069600	0.010190	0.919438	8.324285	1.187066	0.146494	300.520393	11.621051	11.620842	11.620828	135.000000	115.618492	79.336454	24.204825	1.584712
53.000000	-77.732612	0.000000	-0.064689	-0.000059	-0.000739	-0.000688	-0.000052	0.029912	0.000937	0.018060	0.155358	0.473156	-0.386803	0.044591	0.212228	-0.171368	-0.123122	-0.187461	0.142761	5.384941	3.463363	0.000747	0.071056	0.009659	0.918538	8.085625	1.162318	0.145743	300.776810	11.621086	11.620880	11.620866	135.000000	115.387833	79.368792	24.211746	1.585435
